RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
887754,201378203,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,03/07/2013 04:29:00 PM,03/07/2013 04:29:00 PM,,60XX BLOCK OF PHINNEY AV N,B,B2,3500.2037,-122.354377747,47.672828674,"(47.672828674, -122.354377747)",3,2013
1032236,2012163025,2303,0,THEFT-SHOPLIFT,2300,SHOPLIFTING,05/26/2012 08:20:00 PM,05/26/2012 08:20:00 PM,,1XX BLOCK OF MERCER ST,Q,Q3,7000.3021,-122.354751587,47.624576569,"(47.624576569, -122.354751587)",5,2012
1032237,2012198841,2399,3,THEFT-OTH,2300,OTHER PROPERTY,06/24/2012 05:29:00 PM,06/24/2012 03:30:00 PM,,3XX BLOCK OF HARRISON ST,Q,Q3,7100.2001,-122.350852966,47.622085571,"(47.622085571, -122.350852966)",6,2012
1032238,201472111,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,03/08/2014 06:57:00 AM,03/07/2014 10:00:00 PM,03/08/2014 06:30:00 AM,CHERRY ST / 2 AV,K,K1,8100.2036,-122.333175659,47.6030159,"(47.6030159, -122.333175659)",3,2014
1032239,2014107311,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,04/08/2014 03:59:00 PM,04/08/2014 10:30:00 AM,04/08/2014 03:59:00 PM,130XX BLOCK OF 25 AV NE,L,L1,200.2001,-122.301887512,47.723846436,"(47.723846436, -122.301887512)",4,2014
887755,201377887,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,03/07/2013 11:59:00 AM,03/05/2013 03:30:00 PM,03/06/2013 07:15:00 AM,1XX BLOCK OF 6 AV N,Q,Q3,7200.1075,-122.34500885,47.61914444,"(47.61914444, -122.34500885)",3,2013
1032241,2014123990,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,04/23/2014 08:29:00 AM,04/22/2014 06:15:00 PM,04/23/2014 08:25:00 AM,22XX BLOCK OF NW 64 ST,B,B1,3300.4006,-122.386161804,47.675289154,"(47.675289154, -122.386161804)",4,2014
1032242,2014125050,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,04/24/2014 06:30:00 AM,04/24/2014 05:30:00 AM,04/24/2014 06:30:00 AM,73XX BLOCK OF 16 AV NW,J,J2,3000.4011,-122.377853394,47.682281494,"(47.682281494, -122.377853394)",4,2014
1032243,2014120550,1203,3,ROBBERY-BUSINESS-BODYFORCE,1200,ROBBERY,04/19/2014 11:37:00 PM,04/19/2014 11:30:00 PM,04/19/2014 11:37:00 PM,20XX BLOCK OF FAIRVIEW AV,D,D3,7300.2005,-122.334251404,47.618183136,"(47.618183136, -122.334251404)",4,2014
1032244,2014122739,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,04/22/2014 06:12:00 AM,04/21/2014 10:30:00 PM,04/22/2014 05:45:00 AM,22XX BLOCK OF N 106 ST,N,N3,1200.5011,-122.331932068,47.705928802,"(47.705928802, -122.331932068)",4,2014
